Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Role
Ana,All,3.77,8.37,52.19,8.86,4.06,67,2400,7746.0,6.66,55.0,Support
Ana,Bronze,3.43,5.9,48.67,7.89,3.89,64,2234,7357.0,6.88,51.0,Support
Ana,Silver,3.3,5.94,43.95,7.88,3.74,65,2258,7208.0,7.08,52.0,Support
Ana,Gold,3.45,6.1,49.55,8.39,4.07,64,2307,7548.0,6.87,53.0,Support
Ana,Platinum,3.76,10.2,52.73,8.57,3.99,63,2321,7920.0,6.61,55.0,Support
Ana,Diamond,4.09,11.2,55.98,9.0,4.21,69,2440,7933.0,6.56,56.0,Support
Ana,Master,3.84,6.75,51.17,8.58,4.18,63,2394,7679.0,6.64,54.0,Support
Ana,Grandmaster,3.65,6.55,51.29,8.28,3.87,62,2241,7850.0,6.66,54.0,Support
Mercy,All,3.59,4.99,51.63,1.69,0.86,55,277,8668.0,7.08,,Support
Mercy,Bronze,3.08,6.14,43.63,1.79,1.05,56,260,8393.0,7.55,,Support
Mercy,Silver,3.02,4.29,44.47,1.85,1.06,57,275,8315.0,7.66,,Support
Mercy,Gold,3.18,5.49,50.88,1.59,0.87,57,231,8597.0,7.44,,Support
Mercy,Platinum,3.52,5.8,48.76,1.82,0.97,55,272,8745.0,7.15,,Support
Mercy,Diamond,3.8,5.67,51.7,1.72,0.95,53,256,8555.0,7.06,,Support
Mercy,Master,3.68,7.4,51.94,1.93,0.96,54,257,8489.0,7.26,,Support
Mercy,Grandmaster,3.19,5.12,44.66,1.81,1.01,52,241,8392.0,7.47,,Support
Cassidy,All,2.25,3.54,52.07,17.82,6.9,54,7863,,8.59,,Damage
Cassidy,Bronze,1.63,1.41,40.34,14.3,5.9,56,6597,,9.64,,Damage
Cassidy,Silver,1.71,1.0,40.86,14.74,5.96,55,6725,,9.55,,Damage
Cassidy,Gold,2.04,3.61,50.76,16.49,6.39,59,7225,,8.9,,Damage
Cassidy,Platinum,2.02,4.6,50.07,16.85,6.66,56,7352,,9.06,,Damage
Cassidy,Diamond,2.15,3.58,53.21,17.13,6.68,51,7841,,8.98,,Damage
Cassidy,Master,1.98,3.45,46.87,16.33,6.32,59,7465,,9.31,,Damage
Cassidy,Grandmaster,1.79,2.38,44.42,15.54,5.85,52,7063,,9.52,,Damage
Genji,All,2.77,5.88,55.4,19.45,5.89,65,7558,,8.15,,Damage
Genji,Bronze,2.2,1.57,44.39,16.33,4.77,62,7047,,8.51,,Damage
Genji,Silver,2.16,1.56,45.36,15.86,4.93,65,6718,,8.52,,Damage
Genji,Gold,2.46,6.32,52.46,18.29,5.77,67,7321,,8.33,,Damage
Genji,Platinum,2.58,5.53,55.16,18.88,5.76,68,7489,,8.29,,Damage
Genji,Diamond,2.69,6.72,56.45,19.35,5.71,65,7723,,8.19,,Damage
Genji,Master,2.71,7.48,56.49,18.99,5.17,58,7694,,8.04,,Damage
Genji,Grandmaster,3.1,4.64,54.26,19.06,4.96,64,7871,,7.85,,Damage
Kiriko,All,4.44,5.24,52.33,7.93,3.62,67,2271,8386.0,6.4,,Support
Kiriko,Bronze,4.39,3.4,41.7,7.32,3.38,60,2003,7882.0,7.08,,Support
Kiriko,Silver,4.39,3.07,49.58,7.36,3.53,66,2002,7962.0,6.82,,Support
Kiriko,Gold,4.17,3.21,46.79,7.84,3.41,60,2187,8074.0,7.0,,Support
Kiriko,Platinum,4.72,6.84,53.25,7.85,3.62,67,2117,8759.0,6.39,,Support
Kiriko,Diamond,4.67,7.01,55.72,7.95,3.42,61,2235,8444.0,6.51,,Support
Kiriko,Master,4.79,3.21,48.09,7.34,3.25,57,1994,8134.0,6.88,,Support
Kiriko,Grandmaster,4.71,2.82,54.61,7.76,3.26,55,2122,8189.0,6.79,,Support
Moira,All,6.02,7.72,51.21,18.39,8.81,90,5102,8883.0,6.46,,Support
Moira,Bronze,5.51,5.35,42.52,17.17,8.46,93,4800,8472.0,6.81,,Support
Moira,Silver,5.41,7.08,46.28,17.44,8.53,91,4837,8539.0,6.74,,Support
Moira,Gold,5.66,8.56,51.06,18.01,8.63,89,5011,8758.0,6.67,,Support
Moira,Platinum,6.11,7.89,51.35,18.64,9.06,93,5076,9093.0,6.33,,Support
Moira,Diamond,6.63,9.32,50.95,19.19,9.18,93,5141,9090.0,6.21,,Support
Moira,Master,6.22,7.08,51.01,18.52,9.14,93,4914,8965.0,6.36,,Support
Moira,Grandmaster,6.77,4.72,47.89,18.48,8.87,95,4901,8925.0,6.42,,Support
Reinhardt,All,2.99,2.22,52.2,16.27,6.48,125,7513,,7.21,,Tank
Reinhardt,Bronze,3.08,2.33,47.98,15.83,6.06,126,6928,,7.35,,Tank
Reinhardt,Silver,2.93,2.14,46.87,15.88,6.15,126,7114,,7.49,,Tank
Reinhardt,Gold,2.97,2.64,51.37,16.04,6.39,131,7261,,7.3,,Tank
Reinhardt,Platinum,3.4,2.98,53.49,17.48,6.95,128,7845,,7.05,,Tank
Reinhardt,Diamond,3.34,2.58,51.69,17.02,6.42,129,7820,,7.01,,Tank
Reinhardt,Master,3.29,3.21,49.95,16.64,5.87,118,7248,,7.44,,Tank
Reinhardt,Grandmaster,3.09,2.96,51.69,16.16,5.95,126,7241,,7.28,,Tank
Hanzo,All,3.03,1.77,47.3,17.77,7.05,54,7593,,8.29,,Damage
Hanzo,Bronze,2.63,0.99,39.13,16.4,6.58,61,6944,,9.21,,Damage
Hanzo,Silver,2.77,0.95,42.33,16.01,7.36,61,6839,,8.71,,Damage
Hanzo,Gold,2.74,1.8,43.85,17.02,7.03,51,7399,,8.71,,Damage
Hanzo,Platinum,2.92,1.98,44.93,17.25,6.85,54,7546,,8.61,,Damage
Hanzo,Diamond,2.92,2.27,47.38,17.91,6.86,53,7450,,8.84,,Damage
Hanzo,Master,3.21,2.32,46.01,18.73,7.87,66,7559,,8.57,,Damage
Hanzo,Grandmaster,2.82,1.96,48.15,17.24,6.54,52,7367,,8.87,,Damage
Widowmaker,All,2.84,1.8,50.33,17.05,4.24,23,6157,,7.67,46.0,Damage
Widowmaker,Bronze,2.32,1.19,43.47,14.91,5.09,19,5772,,8.44,45.0,Damage
Widowmaker,Silver,2.44,0.81,40.85,14.71,4.67,26,5839,,7.61,43.0,Damage
Widowmaker,Gold,2.54,1.51,43.26,15.16,4.15,19,5765,,8.09,45.0,Damage
Widowmaker,Platinum,2.68,1.89,51.51,16.53,4.58,24,5997,,7.94,45.0,Damage
Widowmaker,Diamond,2.79,2.65,53.8,17.21,4.43,23,6158,,7.83,46.0,Damage
Widowmaker,Master,2.69,3.06,52.49,17.33,4.71,24,6172,,8.12,46.0,Damage
Widowmaker,Grandmaster,2.47,2.81,47.86,16.35,4.42,19,5990,,8.14,45.0,Damage
Soldier: 76,All,2.85,5.37,52.57,19.51,7.44,52,8847,1458.0,8.61,,Damage
Soldier: 76,Bronze,2.73,3.16,41.93,18.12,7.36,59,8059,1458.0,9.08,,Damage
Soldier: 76,Silver,2.43,3.33,41.96,16.9,6.6,56,7832,1409.0,9.44,,Damage
Soldier: 76,Gold,2.77,4.7,50.24,18.94,7.31,57,8412,1440.0,8.92,,Damage
Soldier: 76,Platinum,2.83,5.58,50.78,19.23,7.56,55,8764,1512.0,8.91,,Damage
Soldier: 76,Diamond,3.11,4.8,50.02,19.92,7.48,54,8917,1429.0,8.56,,Damage
Soldier: 76,Master,2.92,9.0,55.06,19.42,7.31,55,8761,1437.0,8.82,,Damage
Soldier: 76,Grandmaster,3.06,6.69,52.13,19.35,7.19,53,8567,1406.0,8.6,,Damage
Zenyatta,All,4.68,2.32,51.16,12.93,5.78,70,4434,6043.0,7.74,,Support
Zenyatta,Bronze,4.7,2.54,49.0,11.57,5.11,68,4053,5733.0,7.95,,Support
Zenyatta,Silver,4.35,2.25,47.12,11.7,5.23,65,4061,5754.0,8.14,,Support
Zenyatta,Gold,4.61,2.43,50.31,12.39,5.46,69,4180,5930.0,8.02,,Support
Zenyatta,Platinum,4.69,3.2,51.42,12.43,5.62,69,4271,6056.0,7.93,,Support
Zenyatta,Diamond,5.05,2.51,52.53,13.42,5.44,68,4612,6030.0,7.67,,Support
Zenyatta,Master,4.74,2.71,48.1,11.96,5.31,68,4125,5926.0,8.08,,Support
Zenyatta,Grandmaster,4.61,2.37,46.37,11.71,4.9,68,4024,5712.0,8.15,,Support
Lucio,All,3.66,4.81,52.6,12.36,6.08,110,3441,8186.0,7.49,,Support
Lucio,Bronze,3.1,7.47,45.89,10.83,5.69,112,3218,8423.0,8.1,,Support
Lucio,Silver,3.34,5.23,49.08,11.21,5.97,113,3219,8505.0,7.85,,Support
Lucio,Gold,3.23,4.01,49.07,11.63,5.77,112,3324,8346.0,7.94,,Support
Lucio,Platinum,3.25,6.64,53.1,11.85,5.78,112,3413,8124.0,8.07,,Support
Lucio,Diamond,3.81,5.73,49.34,12.44,6.1,108,3579,8163.0,7.74,,Support
Lucio,Master,3.22,5.91,47.78,11.26,5.66,111,3333,8222.0,8.12,,Support
Lucio,Grandmaster,3.19,6.09,47.49,11.19,5.62,109,3300,8110.0,8.19,,Support
D.Va,All,6.06,2.69,53.48,21.34,6.54,121,8268,,5.75,,Tank
D.Va,Bronze,5.52,2.23,41.48,20.03,6.37,120,7476,,6.07,,Tank
D.Va,Silver,5.08,2.46,47.47,19.78,6.45,120,7675,,6.21,,Tank
D.Va,Gold,5.63,2.78,47.43,20.59,6.66,122,7915,,6.03,,Tank
D.Va,Platinum,6.14,2.34,53.29,21.11,6.65,115,8047,,5.85,,Tank
D.Va,Diamond,5.71,3.32,53.49,20.53,6.32,117,8034,,5.98,,Tank
D.Va,Master,5.4,2.19,42.64,19.97,6.35,118,7707,,6.04,,Tank
D.Va,Grandmaster,5.76,3.96,46.3,20.41,6.19,112,8221,,5.75,,Tank
Junkrat,All,2.5,1.9,47.68,17.15,6.65,51,8223,,8.65,,Damage
Junkrat,Bronze,2.3,1.74,31.25,16.21,7.03,57,7693,,8.87,,Damage
Junkrat,Silver,2.26,2.47,42.59,16.03,6.9,60,7783,,8.86,,Damage
Junkrat,Gold,2.44,2.29,46.47,16.48,6.81,58,8058,,8.74,,Damage
Junkrat,Platinum,2.42,2.26,44.96,17.07,6.6,54,8227,,8.74,,Damage
Junkrat,Diamond,2.58,1.65,43.5,17.39,6.77,54,8418,,8.56,,Damage
Junkrat,Master,2.25,2.33,39.66,16.09,6.48,58,7919,,9.08,,Damage
Junkrat,Grandmaster,2.35,1.56,37.23,16.31,6.66,56,7962,,8.8,,Damage
Ashe,All,2.68,2.43,52.93,17.23,6.59,50,8107,,7.95,40.0,Damage
Ashe,Bronze,2.16,0.91,34.78,13.71,6.3,48,6481,,8.53,37.0,Damage
Ashe,Silver,2.47,0.77,41.23,15.28,6.71,56,6727,,8.06,36.0,Damage
Ashe,Gold,2.4,1.78,47.0,15.24,6.08,47,7202,,8.09,38.0,Damage
Ashe,Platinum,2.53,2.3,50.82,16.9,6.67,52,7801,,8.42,38.0,Damage
Ashe,Diamond,3.02,2.99,52.63,17.38,6.55,45,8237,,7.94,39.0,Damage
Ashe,Master,2.64,3.11,54.03,17.0,6.49,44,7905,,8.3,39.0,Damage
Ashe,Grandmaster,2.76,2.67,52.44,16.33,6.52,43,8017,,8.2,39.0,Damage
Tracer,All,2.49,1.92,51.9,18.31,6.71,64,6663,,8.28,,Damage
Tracer,Bronze,2.21,0.44,42.49,15.92,6.19,65,5762,,8.34,,Damage
Tracer,Silver,2.14,0.84,44.64,15.93,6.13,63,5932,,8.55,,Damage
Tracer,Gold,2.27,1.1,46.46,17.02,6.34,63,6167,,8.46,,Damage
Tracer,Platinum,2.55,1.36,50.25,17.69,7.03,68,6206,,8.31,,Damage
Tracer,Diamond,2.22,1.59,36.87,17.6,6.43,65,6739,,8.54,,Damage
Tracer,Master,2.63,5.32,63.24,18.54,6.51,63,6495,,7.99,,Damage
