Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Role
Ana,All,4.49,10.18,50.99,9.46,4.05,63,2676,8686.0,5.85,57.0,Support
Ana,Bronze,3.87,3.71,43.97,8.37,3.8,61,2508,7483.0,6.47,52.0,Support
Ana,Silver,4.01,3.78,46.68,8.88,4.08,64,2573,7875.0,6.36,53.0,Support
Ana,Gold,4.36,5.46,48.9,9.21,4.14,65,2610,8251.0,6.13,55.0,Support
Ana,Platinum,4.56,9.33,50.45,9.53,4.18,65,2661,8650.0,5.89,57.0,Support
Ana,Diamond,4.6,16.5,51.3,9.7,4.11,63,2709,8920.0,5.74,58.0,Support
Ana,Master,4.63,22.77,52.67,9.75,3.98,62,2756,9092.0,5.63,60.0,Support
Ana,Grandmaster,4.51,28.03,53.26,9.45,3.6,58,2803,9221.0,5.56,60.0,Support
Mercy,All,4.19,6.27,51.29,1.75,0.65,51,329,8899.0,6.02,,Support
Mercy,Bronze,3.53,3.69,44.85,1.74,0.77,58,346,8563.0,6.88,,Support
Mercy,Silver,3.84,3.48,48.46,1.89,0.81,58,357,8802.0,6.57,,Support
Mercy,Gold,4.03,3.87,49.77,1.81,0.73,56,344,9009.0,6.32,,Support
Mercy,Platinum,4.24,5.47,51.27,1.77,0.67,53,331,9066.0,6.02,,Support
Mercy,Diamond,4.26,9.36,51.8,1.76,0.62,49,326,8963.0,5.86,,Support
Mercy,Master,4.3,11.9,52.56,1.71,0.59,45,318,8721.0,5.83,,Support
Mercy,Grandmaster,4.37,17.97,52.16,1.56,0.53,42,296,8478.0,5.71,,Support
Cassidy,All,2.45,6.15,49.68,18.11,6.74,55,8735,,8.01,,Damage
Cassidy,Bronze,2.22,1.62,43.02,15.72,6.56,61,7402,,8.38,,Damage
Cassidy,Silver,2.28,2.03,45.79,16.64,6.71,60,7715,,8.26,,Damage
Cassidy,Gold,2.44,2.85,47.34,17.37,6.81,58,8110,,8.12,,Damage
Cassidy,Platinum,2.46,5.18,48.84,18.1,6.89,56,8568,,8.06,,Damage
Cassidy,Diamond,2.5,10.21,50.22,18.6,6.83,54,8967,,8.01,,Damage
Cassidy,Master,2.45,15.45,50.35,18.68,6.65,52,9277,,7.94,,Damage
Cassidy,Grandmaster,2.45,19.55,51.77,18.36,6.25,48,9584,,7.77,,Damage
Genji,All,2.43,4.05,50.74,18.11,5.17,65,7341,,8.27,,Damage
Genji,Bronze,2.27,1.04,44.55,15.44,5.22,71,6338,,8.37,,Damage
Genji,Silver,2.24,1.1,46.33,16.04,5.31,71,6594,,8.48,,Damage
Genji,Gold,2.35,1.81,48.5,17.04,5.31,68,6944,,8.37,,Damage
Genji,Platinum,2.42,3.66,50.09,18.03,5.32,66,7270,,8.34,,Damage
Genji,Diamond,2.48,6.66,50.57,18.63,5.25,65,7519,,8.27,,Damage
Genji,Master,2.46,10.52,51.56,18.74,4.98,62,7600,,8.23,,Damage
Genji,Grandmaster,2.51,12.51,53.37,18.77,4.69,59,7692,,8.0,,Damage
Kiriko,All,4.79,7.03,46.82,8.26,3.59,69,2409,8816.0,5.75,,Support
Kiriko,Bronze,4.25,3.52,43.06,7.23,3.45,70,2154,7872.0,6.25,,Support
Kiriko,Silver,4.52,3.45,43.86,7.51,3.58,73,2177,8332.0,6.11,,Support
Kiriko,Gold,4.72,4.3,45.48,7.8,3.59,72,2246,8616.0,5.94,,Support
Kiriko,Platinum,4.8,6.53,46.71,8.06,3.59,71,2313,8895.0,5.77,,Support
Kiriko,Diamond,4.95,10.38,47.1,8.42,3.6,69,2444,8994.0,5.65,,Support
Kiriko,Master,4.86,14.57,47.92,8.82,3.65,66,2595,8962.0,5.59,,Support
Kiriko,Grandmaster,4.74,15.94,48.96,9.22,3.54,62,2868,8821.0,5.63,,Support
Moira,All,6.06,4.8,49.19,17.87,8.24,85,5399,9245.0,6.17,,Support
Moira,Bronze,5.29,4.44,45.21,16.49,7.98,88,5098,8239.0,6.61,,Support
Moira,Silver,5.77,3.92,47.27,17.33,8.31,88,5231,8762.0,6.43,,Support
Moira,Gold,6.04,4.46,49.03,17.78,8.41,88,5332,9121.0,6.26,,Support
Moira,Platinum,6.23,4.86,49.38,18.1,8.39,86,5427,9395.0,6.09,,Support
Moira,Diamond,6.16,6.38,50.49,18.06,8.18,84,5463,9506.0,6.09,,Support
Moira,Master,5.91,6.04,49.59,17.85,7.91,80,5475,9388.0,6.19,,Support
Moira,Grandmaster,5.57,6.36,50.6,17.42,7.48,78,5532,9241.0,6.3,,Support
Reinhardt,All,3.13,4.67,54.29,17.03,6.23,120,8675,,6.81,,Tank
Reinhardt,Bronze,2.82,1.81,45.39,15.24,6.07,129,7393,,7.38,,Tank
Reinhardt,Silver,3.05,2.25,50.63,16.26,6.37,130,7941,,7.07,,Tank
Reinhardt,Gold,3.13,2.93,52.97,16.83,6.43,126,8368,,6.91,,Tank
Reinhardt,Platinum,3.19,4.89,54.39,17.2,6.4,122,8718,,6.77,,Tank
Reinhardt,Diamond,3.14,7.56,55.01,17.22,6.17,117,8917,,6.75,,Tank
Reinhardt,Master,3.04,9.02,54.73,16.96,5.88,113,8887,,6.83,,Tank
Reinhardt,Grandmaster,2.94,10.75,56.01,16.32,5.45,109,8563,,6.85,,Tank
Hanzo,All,3.16,3.53,49.52,17.21,6.01,50,7779,,7.71,,Damage
Hanzo,Bronze,2.77,1.45,44.47,15.19,6.06,50,7067,,7.94,,Damage
Hanzo,Silver,3.01,1.31,45.24,16.04,6.28,53,7305,,7.88,,Damage
Hanzo,Gold,3.13,1.93,48.57,16.77,6.32,53,7577,,7.73,,Damage
Hanzo,Platinum,3.23,3.38,49.52,17.37,6.28,52,7814,,7.71,,Damage
Hanzo,Diamond,3.2,5.81,50.03,17.7,6.07,50,7938,,7.74,,Damage
Hanzo,Master,3.13,7.35,50.08,17.53,5.71,47,7932,,7.75,,Damage
Hanzo,Grandmaster,3.09,8.97,50.72,16.88,5.05,43,7801,,7.65,,Damage
Widowmaker,All,2.52,2.11,48.59,15.56,3.59,22,5793,,8.15,45.0,Damage
Widowmaker,Bronze,2.54,0.73,42.05,13.52,3.57,19,5272,,7.64,44.0,Damage
Widowmaker,Silver,2.62,0.78,44.25,14.63,3.74,19,5535,,7.79,45.0,Damage
Widowmaker,Gold,2.63,1.07,46.43,15.19,3.73,21,5714,,7.83,46.0,Damage
Widowmaker,Platinum,2.59,1.73,47.83,15.69,3.7,22,5820,,8.1,46.0,Damage
Widowmaker,Diamond,2.53,3.19,49.06,16.0,3.64,23,5905,,8.29,46.0,Damage
Widowmaker,Master,2.4,4.91,49.68,15.85,3.5,22,5846,,8.38,45.0,Damage
Widowmaker,Grandmaster,2.41,7.93,51.49,15.59,3.28,20,5816,,8.3,45.0,Damage
Soldier: 76,All,2.92,4.42,48.45,19.15,7.31,52,9144,1326.0,8.1,,Damage
Soldier: 76,Bronze,2.64,2.25,41.6,17.0,7.41,64,8082,1341.0,8.76,,Damage
Soldier: 76,Silver,2.73,2.41,44.48,18.01,7.61,62,8417,1341.0,8.61,,Damage
Soldier: 76,Gold,2.9,3.06,47.28,18.85,7.61,57,8802,1331.0,8.27,,Damage
Soldier: 76,Platinum,2.93,4.38,48.18,19.32,7.42,53,9150,1319.0,8.12,,Damage
Soldier: 76,Diamond,2.97,6.24,49.06,19.59,7.25,49,9418,1317.0,7.97,,Damage
Soldier: 76,Master,2.96,8.31,49.69,19.39,6.9,46,9511,1319.0,7.94,,Damage
Soldier: 76,Grandmaster,2.95,9.65,51.42,18.99,6.49,43,9622,1320.0,7.79,,Damage
Zenyatta,All,5.47,3.36,52.74,13.99,5.74,65,5119,6394.0,6.78,,Support
Zenyatta,Bronze,5.0,1.36,48.7,12.71,5.77,65,4661,6070.0,7.42,,Support
Zenyatta,Silver,5.19,1.31,48.35,13.55,6.08,69,4886,6313.0,7.29,,Support
Zenyatta,Gold,5.47,1.8,51.21,14.0,6.1,69,5037,6402.0,7.1,,Support
Zenyatta,Platinum,5.55,2.9,51.81,14.24,6.04,67,5140,6458.0,6.89,,Support
Zenyatta,Diamond,5.61,5.05,52.8,14.34,5.82,65,5216,6454.0,6.66,,Support
Zenyatta,Master,5.59,7.38,54.96,14.13,5.47,62,5204,6362.0,6.53,,Support
Zenyatta,Grandmaster,5.28,11.33,54.18,13.37,4.74,56,5154,6213.0,6.37,,Support
Lucio,All,3.92,2.11,50.59,12.73,5.72,97,3624,7048.0,7.41,,Support
Lucio,Bronze,3.44,1.42,44.22,10.8,5.6,111,3218,7908.0,7.67,,Support
Lucio,Silver,3.77,1.11,47.97,11.89,5.98,109,3405,7847.0,7.57,,Support
Lucio,Gold,3.87,1.37,48.65,12.42,5.97,105,3533,7637.0,7.49,,Support
Lucio,Platinum,3.96,1.95,50.82,12.81,5.85,100,3638,7310.0,7.4,,Support
Lucio,Diamond,3.98,2.79,50.94,12.95,5.68,95,3686,6846.0,7.46,,Support
Lucio,Master,3.99,3.67,50.99,13.22,5.52,88,3738,6456.0,7.37,,Support
Lucio,Grandmaster,4.1,6.72,52.56,13.02,5.15,82,3794,6189.0,7.11,,Support
D.Va,All,6.35,1.85,48.27,21.07,6.19,123,8550,,5.41,,Tank
D.Va,Bronze,5.32,1.63,42.58,18.97,6.46,132,7489,,6.02,,Tank
D.Va,Silver,5.8,1.35,45.33,20.47,6.66,132,8028,,5.8,,Tank
D.Va,Gold,6.22,1.36,47.31,21.26,6.66,129,8337,,5.62,,Tank
D.Va,Platinum,6.35,1.82,48.49,21.49,6.47,125,8585,,5.49,,Tank
D.Va,Diamond,6.64,2.67,48.58,21.55,6.15,119,8750,,5.33,,Tank
D.Va,Master,6.59,3.63,49.4,20.88,5.74,114,8698,,5.26,,Tank
D.Va,Grandmaster,6.47,5.53,50.94,19.91,5.05,109,8554,,4.93,,Tank
Junkrat,All,2.67,1.92,47.46,16.37,6.08,50,8275,,8.21,,Damage
Junkrat,Bronze,2.38,1.74,43.26,15.34,6.57,60,7670,,8.69,,Damage
Junkrat,Silver,2.58,1.74,45.91,16.0,6.61,58,8026,,8.49,,Damage
Junkrat,Gold,2.67,1.74,46.48,16.4,6.4,55,8201,,8.26,,Damage
Junkrat,Platinum,2.72,1.96,47.85,16.57,6.15,50,8373,,8.17,,Damage
Junkrat,Diamond,2.67,2.4,48.25,16.6,5.78,45,8458,,8.16,,Damage
Junkrat,Master,2.69,2.65,49.54,16.31,5.47,42,8390,,8.14,,Damage
Junkrat,Grandmaster,2.54,2.75,49.32,15.56,4.94,38,8147,,8.2,,Damage
Ashe,All,2.7,2.51,49.32,17.03,6.01,49,8836,,7.51,41.0,Damage
Ashe,Bronze,2.38,1.04,42.57,14.24,5.96,55,7192,,7.72,38.0,Damage
Ashe,Silver,2.62,1.11,45.71,15.4,6.16,54,7715,,7.47,39.0,Damage
Ashe,Gold,2.7,1.62,48.19,16.34,6.22,53,8215,,7.37,40.0,Damage
Ashe,Platinum,2.74,2.39,49.36,17.09,6.21,50,8725,,7.44,41.0,Damage
Ashe,Diamond,2.72,4.11,49.43,17.56,6.06,48,9153,,7.55,42.0,Damage
Ashe,Master,2.68,5.05,51.28,17.66,5.71,44,9438,,7.65,42.0,Damage
Ashe,Grandmaster,2.69,4.95,51.18,17.76,5.29,41,9893,,7.76,43.0,Damage
